gene,UC signature,Mendiratta signature
AMFR,0.0076384911598826565,0.0
AMH,-0.0005199546766920446,0.0
AMHR2,-0.0005503384449079193,0.0
AMIGO2,-0.03172704952507423,0.0
AMMECR1,0.0052854958916379955,0.0
AMN,0.0018859644665113967,0.0
AMOT,0.001554927367988247,0.0
AMOTL2,-0.006415206676523125,0.0
AMPD1,-0.002041421655582639,0.0
AMPD2,0.00181746451342043,0.0
AMPD3,0.00024704764863614997,0.0
AMPH,-0.0002792501877538047,0.0
AMT,-0.0036995984752917835,0.0
AMZ2,-0.012875866633466716,0.0
ANAPC1,-0.0075797353182539716,0.0
ANAPC10,0.0016312830953249028,0.0
ANAPC13,0.0026655631194308013,0.0
ANAPC2,-0.0008147713221331436,0.0
ANAPC5,-0.00493483418637418,0.0
ANG,0.0012610449618301997,0.0
ANGEL1,-0.0017434322455662766,0.0
ANGEL2,0.0018296033878990408,0.0
ANGPT1,-0.003465711096893394,0.0
ANGPT2,0.01053771064440715,0.0
ANGPT4,0.006524554369707419,0.0
ANGPTL2,-0.0035675823211172735,0.0
ANGPTL3,-4.1335191624479064e-05,0.0
ANGPTL4,0.010845600187734429,0.0
ANGPTL7,-0.0022018943512702813,0.0
ANK1,0.0051290999256879835,0.0
ANK2,4.91850456467701e-05,0.0
ANK3,-0.022788592690155794,0.0
ANKFY1,0.0068533649465426375,0.0
ANKH,-0.0038423646816190217,0.0
ANKHD1,0.007113445310548299,0.0
ANKLE2,0.0021853132042018524,0.0
ANKMY1,0.001735158791331114,0.0
ANKMY2,-0.012074097837028874,0.0
ANKRA2,0.0019192944204244268,0.0
ANKRD1,-0.002684123528075587,0.0
ANKRD10,-0.0076450163323461655,0.0
ANKRD11,0.0024609749204202304,0.0
ANKRD12,0.0007600105696401664,0.0
ANKRD17,-0.0032157228623727455,0.0
ANKRD2,0.0022845186403250986,0.0
ANKRD26,-0.0005553562160433435,0.0
ANKRD27,0.018105762224744967,0.0
ANKRD28,-0.011679282143058432,0.0
ANKRD34C,0.0007135564033851534,0.0
ANKRD36,-2.2557543160826704e-05,0.0
ANKRD36B,-0.00979819247669834,0.0
ANKRD40,0.0018734305193006512,0.0
ANKRD46,-0.008477045038042344,0.0
ANKRD49,-0.00479465510645582,0.0
ANKRD53,-0.0030808624965205584,0.0
ANKRD55,-0.0014664883384456413,0.0
ANKRD6,-0.003976803253279167,0.0
ANKRD7,0.0039534890657463954,0.0
ANKS1A,-0.0020466492451006154,0.0
ANKS1B,-0.00409698618244206,0.0
ANKZF1,0.004632223273239377,0.0
ANO1,-0.004571266903734904,0.0
ANO10,0.0027239121850699704,0.0
ANO2,-0.0004852340725628248,0.0
ANO3,-0.003777195534984215,0.0
ANP32A,0.0017746641858082883,0.0
ANP32B,-0.007604943094277004,0.0
ANP32E,-0.01585763823763389,0.0
ANPEP,-0.00044807181666524473,0.0
ANTXR1,-0.002591511690061736,0.0
ANXA1,0.02454360633437186,0.0
ANXA10,0.000940570274812287,0.0
ANXA11,0.006810949152179774,0.0
ANXA13,-0.00336313708362587,0.0
ANXA2,0.021869280854179503,0.0
ANXA3,0.003134542563831214,0.0
ANXA4,0.0035707560182279717,0.0
ANXA5,0.005153392915362178,0.0
ANXA6,-0.016553634173694192,0.0
ANXA7,0.004567910087507365,0.0
ANXA9,-0.013354394816981552,0.0
AOAH,0.005140026725966995,0.0
AOC2,0.0017878370321116755,0.0
AOC3,-0.001442897052979522,0.0
AOX1,0.0004347118091573856,0.0
AP1AR,-0.00210993460920887,0.0
AP1B1,0.007652443397058992,0.0
AP1G1,0.0033718389862701986,0.0
AP1G2,-0.0005263823685902774,0.0
AP1M2,-0.0074450829546427386,0.0
AP1S1,0.0018951311863010867,0.0
AP1S2,-2.3218998209260943e-05,0.0
AP2A2,-0.003496729121764976,0.0
